"character","category"
"Leonardo DiCaprio","Atores e Diretores (Internacional)"
"Leonardo DiCaprio","Atores e Diretores (Internacional)"
"Marilyn Monroe","Atores e Diretores (Internacional)"
"Mark Hamill","Atores e Diretores (Internacional)"
"Mark Ruffalo","Atores e Diretores (Internacional)"
"Marlon Brando","Atores e Diretores (Internacional)"
"Matt Damon","Atores e Diretores (Internacional)"
"Matthew McConaughey","Atores e Diretores (Internacional)"
"Megan Fox","Atores e Diretores (Internacional)"
"Mel Gibson","Atores e Diretores (Internacional)"
"Meryl Streep","Atores e Diretores (Internacional)"
"Meryl Streep","Atores e Diretores (Internacional)"
"Mila Kunis","Atores e Diretores (Internacional)"
"Millie Bobby Brown","Atores e Diretores (Internacional)"
"Morgan Freeman","Atores e Diretores (Internacional)"
"Naomi Campbell","Atores e Diretores (Internacional)"
"Natalie Portman","Atores e Diretores (Internacional)"
"Nicolas Cage","Atores e Diretores (Internacional)"
"Nicole Kidman","Atores e Diretores (Internacional)"
"Oprah Winfrey","Atores e Diretores (Internacional)"
"Paul Rudd","Atores e Diretores (Internacional)"
"Phoebe Waller-Bridge","Atores e Diretores (Internacional)"
"Quentin Tarantino","Atores e Diretores (Internacional)"
"Rami Malek","Atores e Diretores (Internacional)"
"Ricky Gervais","Atores e Diretores (Internacional)"
"Robert de Niro","Atores e Diretores (Internacional)"
"Robert Downey Jr.","Atores e Diretores (Internacional)"
"Robert Pattinson","Atores e Diretores (Internacional)"
"Robin Williams","Atores e Diretores (Internacional)"
"Ryan Reynolds","Atores e Diretores (Internacional)"
"Sacha Baron Cohen","Atores e Diretores (Internacional)"
"Samuel L. Jackson","Atores e Diretores (Internacional)"
"Sandra Bullock","Atores e Diretores (Internacional)"
"Scarlett Johansson","Atores e Diretores (Internacional)"
"Seth MacFarlane","Atores e Diretores (Internacional)"
"Shia LaBeouf","Atores e Diretores (Internacional)"
"Sofía Vergara","Atores e Diretores (Internacional)"
"Stanley Kubrick","Atores e Diretores (Internacional)"
"Stephen Colbert","Atores e Diretores (Internacional)"
"Stephen Fry","Atores e Diretores (Internacional)"
"Steve Carell","Atores e Diretores (Internacional)"
"Steve Harvey","Atores e Diretores (Internacional)"
"Steven Spielberg","Atores e Diretores (Internacional)"
"Sylvester Stallone","Atores e Diretores (Internacional)"
"Terry Crews","Atores e Diretores (Internacional)"
"Tim Burton","Atores e Diretores (Internacional)"
"Tina Fey","Atores e Diretores (Internacional)"
"Tom Hanks","Atores e Diretores (Internacional)"
"Tom Holland","Atores e Diretores (Internacional)"
"Uma Thurman","Atores e Diretores (Internacional)"
"Viggo Mortensen","Atores e Diretores (Internacional)"
"Will Smith","Atores e Diretores (Internacional)"
"Winona Ryder","Atores e Diretores (Internacional)"
"Woody Allen","Atores e Diretores (Internacional)"
"Zac Efron","Atores e Diretores (Internacional)"
"Zack Snyder","Atores e Diretores (Internacional)"
"Seu adversário","Auto-referente"
"Seu pai","Auto-referente"
"Sua avó/Seu avô","Auto-referente"
"Sua mãe","Auto-referente"
