"character","category"
"Willy/Orca (Free Willy)","Filmes"
"Xenomorph (Alien)","Filmes"
"Yoda (Star Wars)","Filmes"
"Zorro","Filmes"
"Alice (Alice in Wonderland)","Filmes (Animações)"
"Alice (Alice no País das Maravilhas)","Filmes (Animações)"
"Alladin (Aladdin)","Filmes (Animações)"
"Anna (Frozen)","Filmes (Animações)"
"Ariel (The Little Mermaid)","Filmes (Animações)"
"Bambi (Bambi)","Filmes (Animações)"
"Beast (Beauty and the Beast)","Filmes (Animações)"
"Belle (Beauty and the Beast)","Filmes (Animações)"
"Blu (Rio)","Filmes (Animações)"
"Branca de Neve","Filmes (Animações)"
"Bruno Madrigal (Encanto)","Filmes (Animações)"
"Buzz Lightyear (Toy Story)","Filmes (Animações)"
"Carl Fredricksen (Up)","Filmes (Animações)"
"Cinderella (Cinderella)","Filmes (Animações)"
"Cruella de Vil (Cruella)","Filmes (Animações)"
"Donkey (Shrek)","Filmes (Animações)"
"Dory (Finding Nemo)","Filmes (Animações)"
"Dumbo (Dumbo)","Filmes (Animações)"
"Edna (The Incredibles)","Filmes (Animações)"
"Elsa (Frozen)","Filmes (Animações)"
"Esmeralda (The Hunchback of Notre Dame)","Filmes (Animações)"
"Fada Sininho","Filmes (Animações)"
"Felonius Gru (Despicable Me)","Filmes (Animações)"
"Fiona (Shrek)","Filmes (Animações)"
"Genie (Aladdin)","Filmes (Animações)"
"Genie (Alladin)","Filmes (Animações)"
"Hades (Hercules)","Filmes (Animações)"
"Helen Parr “Elastigirl” (The Incredibles)","Filmes (Animações)"
"Hiccup (How to Train Your Dragon)","Filmes (Animações)"
"Jasmine (Aladdin)","Filmes (Animações)"
"Joy (Inside Out)","Filmes (Animações)"
"Judy Hopps (Zootopia)","Filmes (Animações)"
"Manny (Ice Age)","Filmes (Animações)"
"Marlin (Finding Nemo)","Filmes (Animações)"
"Merida (Brave)","Filmes (Animações)"
"Mike Wazowski (Monsters, Inc.)","Filmes (Animações)"
"Minion (Despicable Me)","Filmes (Animações)"
"Minion (Meu Malvado Favorito)","Filmes (Animações)"
"Moana (Moana)","Filmes (Animações)"
"Mr. Incredible (The Incredibles)","Filmes (Animações)"
"Mulan (Mulan)","Filmes (Animações)"
"Olaf (Frozen)","Filmes (Animações)"
"Peter Pan","Filmes (Animações)"
"Peter Pan (Peter Pan)","Filmes (Animações)"
"Po (Kung Fu Panda)","Filmes (Animações)"
"Po (Kung-Fu Panda)","Filmes (Animações)"
"Pocahontas (Pocahontas)","Filmes (Animações)"
"Puss in Boots (Shrek)","Filmes (Animações)"
"Rapunzel (Tangled)","Filmes (Animações)"
"Raya (Raya and the Last Dragon)","Filmes (Animações)"
"Rei Julian (Madagascar)","Filmes (Animações)"
"Rémy (Ratatouille)","Filmes (Animações)"
"Sadness (Inside Out)","Filmes (Animações)"
"Scar (The Lion King)","Filmes (Animações)"
"Scratchy (Ice Age)","Filmes (Animações)"
"Shrek","Filmes (Animações)"
"Shrek","Filmes (Animações)"
"Shrek (Shrek)","Filmes (Animações)"
"Simba (Rei Leão)","Filmes (Animações)"
"Simba (The Lion King)","Filmes (Animações)"
"Snow White (Snow White and the Seven Dwarfs)","Filmes (Animações)"
"Sulley (Monsters, Inc.)","Filmes (Animações)"
"Tarzan","Filmes (Animações)"
"Tarzan (Tarzan)","Filmes (Animações)"
"Toothless (How to Train Your Dragon)","Filmes (Animações)"
"WALL-E (WALL-E)","Filmes (Animações)"
"Woody (Toy Story)","Filmes (Animações)"
"Albert Camus","Filosofia"
"Aristotle","Filosofia"
"Arthur Schopenhauer","Filosofia"
"Auguste Comte","Filosofia"
"Baruch Spinoza","Filosofia"
"Bertrand Russell","Filosofia"
"Daniel Dennett","Filosofia"
"David Hume","Filosofia"
"Democritus","Filosofia"
"Denis Diderot","Filosofia"
"Edmund Burke","Filosofia"
"Émile Durkheim","Filosofia"
"Emma Goldman","Filosofia"
"Epicurus","Filosofia"
"Francis Bacon","Filosofia"
"Friedrich Engels","Filosofia"
"Georg Hegel","Filosofia"
"Gottlob Frege","Filosofia"
"Hannah Arendt","Filosofia"
"Immanuel Kant","Filosofia"
"Jacques Derrida","Filosofia"
"Jean-Jacques Rousseau","Filosofia"
"Jean-Paul Sartre","Filosofia"
"Jeremy Bentham","Filosofia"
"John Rawls","Filosofia"
"John Stuart Mill","Filosofia"
"Judith Butler","Filosofia"
"Karl Marx","Filosofia"
"Karl Popper","Filosofia"
"Ludwig Wittgenstein","Filosofia"
"Max Weber","Filosofia"
"Michel Foucault","Filosofia"
"Montesquieu","Filosofia"
"Niccolò Machiavelli","Filosofia"
"Paulo Freire","Filosofia"
"Peter Singer","Filosofia"
"Piotr Kropotkin","Filosofia"
"Plato","Filosofia"
"Pythagoras","Filosofia"
"René Descartes","Filosofia"
"Roger Scruton","Filosofia"
"Rosa Luxemburg","Filosofia"
"Sam Harris","Filosofia"
"Seneca","Filosofia"
"Simone Weil","Filosofia"
"Slavoj Žižek","Filosofia"
"Sócrates","Filosofia"
"Thales de Miletus","Filosofia"
"Theodor W. Adorno","Filosofia"
"Thomas Hobbes","Filosofia"
"Thomas More","Filosofia"
"Voltaire","Filosofia"
"William James","Filosofia"
"William of Ockham","Filosofia"
"Zygmunt Bauman","Filosofia"
"Abraham Lincoln","História"
"Alexander the Great","História"
"Amelia Earhart","História"
"Attila the Hun","História"
"Augusto Pinochet","História"
"Benito Mussolini","História"
"Boris Yeltsin","História"
"Che Guevara","História"
"Christopher Columbus","História"
"Cicero","História"
"Cleópatra","História"
"Constantino I","História"
"Ernesto “Che” Guevara","História"
"Eva Perón","História"
"Fidel Castro","História"
"Francisco Franco","História"
"Franklin Roosevelt","História"
"Genghis Khan","História"
"Getúlio Vargas","História"
"Giuseppe Garibaldi","História"
"Grigori Rasputin","História"
"Hannibal","História"
"Henry Kissinger","História"
"Hồ Chí Minh","História"
"Hugo Chávez","História"
"Irineu Evangelista De Souza (Barão De Mauá)","História"
"Ivan the Terrible","História"
"Joan of Arc","História"
"Joseph Stalin","História"
"Julius Caesar","História"
"Juscelino ""JK"" Kubitschek","História"
"Justiniano I","História"
"Kim Il-Sung","História"
"Louis XIV of France","História"
"Malcolm X","História"
"Marco Polo","História"
"Marcus Aurelius","História"
"Margaret Thatcher","História"
"Marquis de Lafayette","História"
"Martin Luther King Jr.","História"
"Martin Luther King Jr.","História"
"Maximilien Robespierre","História"
"Mohandas “Mahatma” Gandhi","História"
"Napoleão Bonaparte","História"
"Nelson Mandela","História"
"Nero","História"
"Nostradamus","História"
"Otto von Bismarck","História"
"Pedro I of Brazil","História"
"Pedro II of Brazil","História"
"Poncio Pilatos","História"
"Rainha Elizabeth","História"
"Robert F. Kennedy","História"
"Rosa Parks","História"
"Saddam Hussein","História"
"Salvador Allende","História"
"Shaka Zulu","História"
"Simón Bolívar","História"
"Sun Tzu","História"
"Tutankhamun","História"
"Vladimir Lenin","História"
"Winston Churchill","História"
"Xerxes I the Great","História"
"Agent 47 (Hitman)","Jogos"
"Blanka (Street Fighter)","Jogos"
"Bowser (Mario)","Jogos"
"Chun-Li (Street Fighter)","Jogos"
"Cloud (Final Fantasy)","Jogos"
"Crash Bandicoot","Jogos"
"Dog (Duck Hunt)","Jogos"
"Donkey Kong","Jogos"
"Duke Nukem","Jogos"
"Earthworm Jim","Jogos"
"Ellie (The Last of Us)","Jogos"
"Ezio da Firenze (Assassin’s Creed)","Jogos"
"Fox (Star Fox)","Jogos"
"Geralt of Rivia (The Witcher)","Jogos"
"Glados (Portal)","Jogos"
"Gordon Freeman (Half-Life)","Jogos"
"Kirby","Jogos"
"Kratos (God of War)","Jogos"
"Lara Croft (Tomb Raider)","Jogos"
"Leon (Resident Evil)","Jogos"
"Link (Zelda)","Jogos"
"Mario","Jogos"
"Mega Man","Jogos"
"Nathan Drake (Uncharted)","Jogos"
"Pac-Man","Jogos"
"Peach (Mario)","Jogos"
"Pikachu (Pokémon)","Jogos"
"Rayman (Rayman)","Jogos"
"Ryu (Street Fighter)","Jogos"
"Samus Aran (Metroid Prime)","Jogos"
"Scorpion (Mortal Kombat)","Jogos"
"Solid Snake (Metal Gear)","Jogos"
"Sonic the Hedgehog","Jogos"
"Spyro (Spyro)","Jogos"
"Steve (Minecraft)","Jogos"
"Sub-Zero (Mortal Kombat)","Jogos"
"Trevor Philips (Grand Theft Auto)","Jogos"
"Wario (Mario)","Jogos"
"Yoshi (Mario)","Jogos"
"“Weird Al” Yankovic","Música (Internacional)"
"50 Cent","Música (Internacional)"
"A$AP Rocky","Música (Internacional)"
"Adele","Música (Internacional)"
"Alicia Keys","Música (Internacional)"
"Amy Lee","Música (Internacional)"
"Amy Winehouse","Música (Internacional)"
"Ariana Grande","Música (Internacional)"
"Ashnikko","Música (Internacional)"
"Avril Lavigne","Música (Internacional)"
"Axl Rose","Música (Internacional)"
"B.B. King","Música (Internacional)"
"Beyoncé","Música (Internacional)"
"Billie Eilish","Música (Internacional)"
"Billie Joe Armstrong","Música (Internacional)"
"Billy Joel","Música (Internacional)"
"Björk","Música (Internacional)"
"Bob Dylan","Música (Internacional)"
"Bob Marley","Música (Internacional)"
"Bono","Música (Internacional)"
"Brian May","Música (Internacional)"
"Brian Wilson","Música (Internacional)"
"Britney Spears","Música (Internacional)"
"Bruce Springsteen","Música (Internacional)"
"Bruno Mars","Música (Internacional)"
"Camila Cabello","Música (Internacional)"
"Cardi B","Música (Internacional)"
"Carlos Santana","Música (Internacional)"
"Celine Dion","Música (Internacional)"
"Cher","Música (Internacional)"
"Chris Martin","Música (Internacional)"
"Chuck Berry","Música (Internacional)"
"Courtney Love","Música (Internacional)"
"Dave Grohl","Música (Internacional)"
"David Bowie","Música (Internacional)"
"Demi Lovato","Música (Internacional)"
"Doja Cat","Música (Internacional)"
"Dolly Parton","Música (Internacional)"
"Drake","Música (Internacional)"
"Dua Lipa","Música (Internacional)"
"Ed Sheeran","Música (Internacional)"
"Eddie Vedder","Música (Internacional)"
"Elvis Presley","Música (Internacional)"
"Eminem","Música (Internacional)"
"Eric Clapton","Música (Internacional)"
"Florence Welch","Música (Internacional)"
"Frank Sinatra","Música (Internacional)"
"Frank Zappa","Música (Internacional)"
"Freddie Mercury","Música (Internacional)"
"Frédéric Chopin","Música (Internacional)"
"George Harrison","Música (Internacional)"
"Gwen Stefani","Música (Internacional)"
"Halsey","Música (Internacional)"
"Hans Zimmer","Música (Internacional)"
"Harry Styles","Música (Internacional)"
"Hayley Williams","Música (Internacional)"
"James Hetfield","Música (Internacional)"
"Jay-Z","Música (Internacional)"
"Jimi Hendrix","Música (Internacional)"
"Jimmy Page","Música (Internacional)"
"Joey Ramone","Música (Internacional)"
"Johann Sebastian Bach","Música (Internacional)"
"John Bonham","Música (Internacional)"
"John Lennon","Música (Internacional)"
"Johnny Cash","Música (Internacional)"
"Jon Bon Jovi","Música (Internacional)"
"Juice Wrld","Música (Internacional)"
"Julian Casablancas","Música (Internacional)"
"Justin Bieber","Música (Internacional)"
"Justin Timberlake","Música (Internacional)"
"Kanye West","Música (Internacional)"
"Katy Perry","Música (Internacional)"
"Keith Richards","Música (Internacional)"
"Kelly Clarkson","Música (Internacional)"
"Kendrick Lamar","Música (Internacional)"
"Kesha","Música (Internacional)"
"Kurt Cobain","Música (Internacional)"
"Lady Gaga","Música (Internacional)"
"Lana Del Rey","Música (Internacional)"
"Lil Nas X","Música (Internacional)"
"Lizzo","Música (Internacional)"
"Ludwig van Beethoven","Música (Internacional)"
"Machine Gun Kelly","Música (Internacional)"
"Madonna","Música (Internacional)"
"Mariah Carey","Música (Internacional)"
"Marilyn Manson","Música (Internacional)"
"Marilyn Monroe","Música (Internacional)"
"Megan Thee Stallion","Música (Internacional)"
"Michael Jackson","Música (Internacional)"
"Mick Jagger","Música (Internacional)"
"Miley Cyrus","Música (Internacional)"
"Missy Elliott","Música (Internacional)"
"Mozart","Música (Internacional)"
"Nicki Minaj","Música (Internacional)"
"Paul McCartney","Música (Internacional)"
"Pete Townshend","Música (Internacional)"
"Phil Collins","Música (Internacional)"
"Prince","Música (Internacional)"
"Psy","Música (Internacional)"
"Pyotr Ilyich Tchaikovsky","Música (Internacional)"
"Quincy Jones","Música (Internacional)"
"Ray Charles","Música (Internacional)"
"Rihanna","Música (Internacional)"
"Roger Waters","Música (Internacional)"
"Selena Gomez","Música (Internacional)"
"Serj Tankian","Música (Internacional)"
"Shakira","Música (Internacional)"
"Shawn Mendes","Música (Internacional)"
"Sia","Música (Internacional)"
"Sister Rosetta Tharpe","Música (Internacional)"
"Slash","Música (Internacional)"
"Snoop Dogg","Música (Internacional)"
"Stevie Nicks","Música (Internacional)"
"Stevie Wonder","Música (Internacional)"
"Sting","Música (Internacional)"
"Taylor Swift","Música (Internacional)"
"The Weeknd","Música (Internacional)"
"Thom Yorke","Música (Internacional)"
"Timbaland","Música (Internacional)"
"Tupac Shakur","Música (Internacional)"
"Whitney Houston","Música (Internacional)"
"Yoko Ono","Música (Internacional)"
"Bill Gates","Negócios"
"Bob Iger","Negócios"
"Eduardo Saverin","Negócios"
"Elizabeth Holmes","Negócios"
"Elon Musk","Negócios"
"Florentino Pérez","Negócios"
"George Soros","Negócios"
"Henry Ford","Negócios"
"Hugh Hefner","Negócios"
"Jeff Bezos","Negócios"
"Jimmy Wales","Negócios"
"Joan Laporta","Negócios"
"Larry Page","Negócios"
"Mark Cuban","Negócios"
"Mark Zuckerberg","Negócios"
"Peter Thiel","Negócios"
"Roman Abramovich","Negócios"
"Sam Altman","Negócios"
"Steve Jobs","Negócios"
"Tim Berners-Lee","Negócios"
"Warren Buffett","Negócios"
"Al Gore","Política (Internacional)"
"Alexandria Ocasio-Cortez","Política (Internacional)"
"Andrés Manuel López Obrador","Política (Internacional)"
"Angela Davis","Política (Internacional)"
"Angela Merkel","Política (Internacional)"
"Barack Obama","Política (Internacional)"
"Benjamin Netanyahu","Política (Internacional)"
"Bernie Sanders","Política (Internacional)"
"Bill Clinton","Política (Internacional)"
"Candace Owens","Política (Internacional)"
"Cristina Fernández de Kirchner","Política (Internacional)"
"Dick Cheney","Política (Internacional)"
"Donald Trump","Política (Internacional)"
"Dwight D. Eisenhower","Política (Internacional)"
"Edward Snowden","Política (Internacional)"
"Emmanuel Macron","Política (Internacional)"
"Franklin D. Roosevelt","Política (Internacional)"
"Gabriel Boric","Política (Internacional)"
"George W. Bush","Política (Internacional)"
"George Washington","Política (Internacional)"
"Greta Thunberg","Política (Internacional)"
"Hillary Clinton","Política (Internacional)"
"Jacinda Ardern","Política (Internacional)"
"Jimmy Carter","Política (Internacional)"
"Joe Biden","Política (Internacional)"
"Joe Rogan","Política (Internacional)"
"Julian Assange","Política (Internacional)"
"Justin Trudeau","Política (Internacional)"
"Kamala Harris","Política (Internacional)"
"Kim Jong-il","Política (Internacional)"
"Kim Jong-un","Política (Internacional)"
"Michelle Obama","Política (Internacional)"
"Mike Pence","Política (Internacional)"
"Mohammed bin Salman (MBS)","Política (Internacional)"
"Nicolás Maduro","Política (Internacional)"
"Recep Tayyip Erdoğan","Política (Internacional)"
"Richard Nixon","Política (Internacional)"
"Ronald Reagan","Política (Internacional)"
"Silvio Berlusconi","Política (Internacional)"
"Steve Bannon","Política (Internacional)"
"Theodore Roosevelt","Política (Internacional)"
"Thomas Jefferson","Política (Internacional)"
"Tony Blair","Política (Internacional)"
"Viktor Orbán","Política (Internacional)"
"Vladimir Putin","Política (Internacional)"
"Volodymyr Zelenskyy","Política (Internacional)"
"Ciro Gomes","Política (Nacional)"
"Dilma Rousseff","Política (Nacional)"
"Fernando Haddad","Política (Nacional)"
"Guilherme Boulos","Política (Nacional)"
"Luis Inácio Lula da Silva","Política (Nacional)"
"Manuela D'Ávila","Política (Nacional)"
"Marina Silva","Política (Nacional)"
"Sérgio Moro","Política (Nacional)"
"Alfred Pennyworth (The Dark Knight)","Super Heróis"
"Ant-Man (Marvel)","Super Heróis"
"Batman (DC)","Super Heróis"
"Black Widow (Marvel)","Super Heróis"
"Captain America (Marvel)","Super Heróis"
"Charles Xavier (X-Men)","Super Heróis"
"Cyclops (X-Men)","Super Heróis"
"Demolidor","Super Heróis"
"Doctor Octopus (Spider-Man)","Super Heróis"
"Frank Castle/Punisher (Marvel)","Super Heróis"
"Groot (Marvel)","Super Heróis"
"Harley Quinn (DC)","Super Heróis"
"Hawkeye (Marvel)","Super Heróis"
"Hulk (Marvel)","Super Heróis"
"Iron Man/Tony Stark (Marvel)","Super Heróis"
"Jean Grey (X-Men)","Super Heróis"
"Joker/Heath Ledger (The Dark Knight)","Super Heróis"
"Joker/Joaquin Phoenix (The Dark Knight)","Super Heróis"
"King T’Challa/Black Panther (Marvel)","Super Heróis"
"Lex Luthor (DC)","Super Heróis"
"Logan/Wolverine (X-Men)","Super Heróis"
"Loki (Marvel)","Super Heróis"
"Magneto (X-Men)","Super Heróis"
"Matt Murdock/Daredevil (Marvel)","Super Heróis"
"Mystique (X-Men)","Super Heróis"
"Peter Parker/Spider-Man (Marvel)","Super Heróis"
"Peter Quill/Star-Lord (Marvel)","Super Heróis"
"Raven (Teen Titans)","Super Heróis"
"Robin (Teen Titans)","Super Heróis"
"Rocket Raccoon (Marvel)","Super Heróis"
"Spider-Man/Miles Morales (Marvel)","Super Heróis"
"Superman (DC)","Super Heróis"
"Thanos (Marvel)","Super Heróis"
"The Flash (DC)","Super Heróis"
"Thor (Marvel)","Super Heróis"
"Wade Wilson/Deadpool (Marvel)","Super Heróis"
"Wanda Maximoff/Scarlet Witch (Marvel)","Super Heróis"
"Wonder Woman (DC)","Super Heróis"
"Beatriz ""Bia"" Falcão (Fernanda Montenegro/Belíssima)","TV Brasileira"
"Bruno Berdinazzi Mezenga (Antônio Fagundes/Rei do Gado)","TV Brasileira"
"Cândido da Silva (Candinho) (Sérgio Guizé/Êta Mundo Bom!)","TV Brasileira"
"Carmen ""Carminha"" Lúcia (Adriana Esteves/Avenida Brasil)","TV Brasileira"
"Chapolim Colorado (Chapolim)","TV Brasileira"
"Chaves (Chaves)","TV Brasileira"
"Chayene (Jociléia Imbuzeiro) (Cláudia Abreu/Cheias de Charme)","TV Brasileira"
"Dino (Família Dinossauro)","TV Brasileira"
"Dom Pedro II, Imperador do Brasil (Selton Mello/Nos Tempos do Imperador)","TV Brasileira"
"Donatela da Silva Duarte Fontini (Cláudia Raia/A Favorita)","TV Brasileira"
"Eduardo ""Dódi"" Gentil (Murilo Benício/A Favorita)","TV Brasileira"
"Eliza de Assis Monteiro (Marina Ruy/Totalmente Demais)","TV Brasileira"
"Esteban/Pescador Parrudo (Marcos Pasquim/Kubanacan)","TV Brasileira"
"Fabiana Duarte Feitosa (Bibi Perigosa) (Juliana Paes/A Força do Querer)","TV Brasileira"
"Félix Khoury (Mateus Solano/Amor à Vida)","TV Brasileira"
"Flora Pereira da Silva (Patricia Pillar/A Favorita)","TV Brasileira"
"Francisbel ""Bebel"" dos Santos (Camila Pitanga/Paraíso Tropical)","TV Brasileira"
"Giovanni Improtta (José Wilker/Senhora do Destino)","TV Brasileira"
"Griselda da Silva Pereira (Lília Cabral/Fina Estampa)","TV Brasileira"
"Helena (Christiane Torloni/Mulheres Apaixonadas)","TV Brasileira"
"Jade El Adib Rachid (Giovanna Antonelli/O Clone)","TV Brasileira"
"Jonatas Castro (Felipe Simas/Totalmente Demais)","TV Brasileira"
"Jorge “Tufão” Araújo (Murilo Benício/Avenida Brasil)","TV Brasileira"
"José Alfredo de Medeiros (Alexandre Nero/Império)","TV Brasileira"
"Juvenal Antena (Antônio Fagundes/Duas Caras)","TV Brasileira"
"Laura Prudente da Costa (Cláudia Abreu/Celebridade)","TV Brasileira"
"Leopoldina de Habsburgo-Lorena (Letícia Colin/Novo Mundo)","TV Brasileira"
"Lineu (A Grande Família)","TV Brasileira"
"Maria da Paz Sobral Ramirez (Juliana Paes/A Dona do Pedaço)","TV Brasileira"
"Maria do Carmo Ferreira da Silva (Susana Vieira/Senhora do Destino)","TV Brasileira"
"Maxwell “Max” Oliveira (Marcello Novaes/Avenida Brasil)","TV Brasileira"
"Nazaré Esteves Tedesco (Naza) / Lourdes (Renata Sorrah/Senhora do Destino)","TV Brasileira"
"Niko Petrakis (Tony Ramos/Belíssima)","TV Brasileira"
"Nina García Hernández (Débora Falabella/Avenida Brasil)","TV Brasileira"
"Nino (Castelo Rátimbum)","TV Brasileira"
"Olavo Novaes (Wagner Moura/Paraíso Tropical)","TV Brasileira"
"Po (Teletubies)","TV Brasileira"
"Priscila (TV Colosso)","TV Brasileira"
"Professor Raimundo (Escolinha do Professor Raimundo)","TV Brasileira"
"Raj Ananda (Rodrigo Lombardi/Caminho das Índias)","TV Brasileira"
"Serena Anauê Souza Dias (Priscila Fantin/Alma Gêmea)","TV Brasileira"
"Seu Madruga (Chaves)","TV Brasileira"
"Sol de Oliveira (Deborah Secco/América)","TV Brasileira"
"Tereza Cristina Siqueira (Christiane Torloni/Fina Estampa)","TV Brasileira"
"Tommy (Green/White Power Ranger)","TV Brasileira"
"Barney Stinson (How I Met Your Mother)","TV Internacional"
"Blair Waldorf (Gossip Girl)","TV Internacional"
"Carly Shay (iCarly)","TV Internacional"
"Chandler Bing (Friends)","TV Internacional"
"Daenerys Targaryen (Game of Thrones)","TV Internacional"
"Daryl Dixon (The Walking Dead)","TV Internacional"
"Dexter Morgan (Dexter)","TV Internacional"
"Don Draper (Mad Men)","TV Internacional"
"Dr. Gregory House (House M.D.)","TV Internacional"
"Dwight Schrute (The Office)","TV Internacional"
"Elizabeth ""Beth"" Harmon (The Queen’s Gambit)","TV Internacional"
"Fleabag (Fleabag)","TV Internacional"
"George Constanza (Seinfeld)","TV Internacional"
"Geralt of Rivia (The Witcher)","TV Internacional"
"Gordon Ramsay","TV Internacional"
"Gustavo Fring (Breaking Bad)","TV Internacional"
"Hannibal Lecter (Hannibal)","TV Internacional"
"Homelander (The Boys)","TV Internacional"
"Jack Bauer (24)","TV Internacional"
"Jake Peralta (Brooklyn Nine-Nine)","TV Internacional"
"Jay Pritchett (Modern Family)","TV Internacional"
"Jeff Winger (Community)","TV Internacional"
"Jerry Seinfeld (Seinfeld)","TV Internacional"
"Jess Day (New Girl)","TV Internacional"
"Jim Halpert (The Office)","TV Internacional"
"Jim Hopper (Stranger Things)","TV Internacional"
"Joe Goldberg (You)","TV Internacional"
"Joey Tribbiani (Friends)","TV Internacional"
"Jon Snow (Game of Thrones)","TV Internacional"
"Kramer (Seinfeld)","TV Internacional"
"Leslie Knope (Parks and Recreation)","TV Internacional"
"Lorelai Gilmore (Gilmore Girls)","TV Internacional"
"Max Mayfield (Stranger Things)","TV Internacional"
"Mike Wheeler (Stranger Things)","TV Internacional"
"Ned Stark (Game of Thrones)","TV Internacional"
"Phil Dunphy (Modern Family)","TV Internacional"
"Professor (La Casa de Papel)","TV Internacional"
"Ron Swanson (Parks and Recreation)","TV Internacional"
"Saul Goodman (Breaking Bad)","TV Internacional"
"Sheldon Cooper (The Big Bang Theory)","TV Internacional"
"Spencer Reid (Criminal Minds)","TV Internacional"
"Steve Harrington (Stranger Things)","TV Internacional"
"Ted Mosby (How I Met Your Mother)","TV Internacional"
"Walter White (Breaking Bad)","TV Internacional"
"Wednesday Addams (Wednesday)","TV Internacional"
