cartoon_title,character,start_year,end_year
¡Mucha Lucha!,Baby and Lady,2002,2005
¡Mucha Lucha!,Buena Girl,2002,2005
¡Mucha Lucha!,El Haystack Grande,2002,2005
¡Mucha Lucha!,El Loco Mosquito,2002,2005
¡Mucha Lucha!,Lone Star,2002,2005
¡Mucha Lucha!,Megawatt,2002,2005
¡Mucha Lucha!,Rikochet,2002,2005
¡Mucha Lucha!,Rikochet's Abuelito,2002,2005
¡Mucha Lucha!,The Flea,2002,2005
101 Dalmatian Street,Arabella,2018,2018
101 Dalmatian Street,Clarissa,2018,2018
101 Dalmatian Street,Dallas,2018,2018
101 Dalmatian Street,Dawkins,2018,2018
101 Dalmatian Street,Delilah,2018,2018
101 Dalmatian Street,Destiny,2018,2018
101 Dalmatian Street,Diesel,2018,2018
101 Dalmatian Street,Dolly,2018,2018
101 Dalmatian Street,Dorothy,2018,2018
101 Dalmatian Street,Dylan,2018,2018
101 Dalmatians: The Series,Cadpig,1997,1998
101 Dalmatians: The Series,Colonel,1997,1998
101 Dalmatians: The Series,Cruella de Vil,1997,1998
101 Dalmatians: The Series,Lt. Pug,1997,1998
101 Dalmatians: The Series,Lucky,1997,1998
101 Dalmatians: The Series,Nanny,1997,1998
101 Dalmatians: The Series,Princess,1997,1998
101 Dalmatians: The Series,Scorch,1997,1998
101 Dalmatians: The Series,Spot,1997,1998
12 oz. Mouse,Buzby,2005,2020
12 oz. Mouse,Eye,2005,2020
12 oz. Mouse,Golden Joe,2005,2020
12 oz. Mouse,Industry Man,2005,2020
12 oz. Mouse,Liquor,2005,2020
12 oz. Mouse,Mouse 'Fitz' Fitzgerald,2005,2020
12 oz. Mouse,Rectangle 'Square Guy',2005,2020
12 oz. Mouse,Roostre,2005,2020
12 oz. Mouse,Shark,2005,2020
12 oz. Mouse,The Policeman,2005,2020
2 Stupid Dogs,Big Bad Wolf,1993,1995
2 Stupid Dogs,Big Dog,1993,1995
2 Stupid Dogs,Buffy Ziegenhagen,1993,1995
2 Stupid Dogs,Buzz,1993,1995
2 Stupid Dogs,Chief,1993,1995
2 Stupid Dogs,Cubby,1993,1995
2 Stupid Dogs,Hollywood,1993,1995
2 Stupid Dogs,Little Dog,1993,1995
2 Stupid Dogs,Morocco Mole,1993,1995
2 Stupid Dogs,Secret Squirrel,1993,1995
3-South,Becky,2002,2003
3-South,Cindy,2002,2003
3-South,Dean Earhart,2002,2003
3-South,Dell,2002,2003
3-South,Ed Bickel,2002,2003
3-South,Felicity,2002,2003
3-South,Max,2002,2003
3-South,Sanford Reilly,2002,2003
3Below: Tales of Arcadia,AAARRRGGHH!!!,2018,2019
3Below: Tales of Arcadia,Aja,2018,2019
3Below: Tales of Arcadia,Eli,2018,2019
3Below: Tales of Arcadia,Krel,2018,2019
3Below: Tales of Arcadia,Luug,2018,2019
3Below: Tales of Arcadia,Morando,2018,2019
3Below: Tales of Arcadia,Mother,2018,2019
3Below: Tales of Arcadia,Steve,2018,2019
3Below: Tales of Arcadia,Stuart,2018,2019
3Below: Tales of Arcadia,Varvatos Vex,2018,2019
6Teen,Caitlin Cooke,2004,2010
6Teen,Jen Masterson,2004,2010
6Teen,Jonesy Garcia,2004,2010
6Teen,Jude Lizowski,2004,2010
6Teen,Kirsten,2004,2010
6Teen,Kristen,2004,2010
6Teen,Nikki Wong,2004,2010
6Teen,Ron the Rent-a-Cop,2004,2010
6Teen,Wayne,2004,2010
6Teen,Wyatt Williams,2004,2010
7Seeds,Ango,2019,2019
7Seeds,Arashi,2019,2019
7Seeds,Botan,2019,2019
7Seeds,Hana,2019,2019
7Seeds,Haru,2019,2019
7Seeds,Hotaru,2019,2019
7Seeds,Matsuri,2019,2019
7Seeds,Natsu,2019,2019
7Seeds,Ryo,2019,2019
7Seeds,Semimaru,2019,2019
A Certain Magical Index,Hyoka Kazakiri,2008,2019
A Certain Magical Index,Index,2008,2019
A Certain Magical Index,Kazari Uiharu,2008,2019
A Certain Magical Index,Kikyo Yoshikawa,2008,2019
A Certain Magical Index,Lidvia Lorenzetti,2008,2019
A Certain Magical Index,Lucia,2008,2019
A Certain Magical Index,Toma Kamijo,2008,2019
A Certain Magical Index,Toya Kamijo,2008,2019
A Lull in the Sea,Akari Shiodome,2013,2014
A Lull in the Sea,Chisaki Hiradaira,2013,2014
A Lull in the Sea,Hikari Sakishima,2013,2014
A Lull in the Sea,Isamu Kihara,2013,2014
A Lull in the Sea,Kaname Isaki,2013,2014
A Lull in the Sea,Manaka Mukaido,2013,2014
A Lull in the Sea,Miuna Shiodome,2013,2014
A Lull in the Sea,Tsumugu Kihara,2013,2014
A Miss Mallard Mystery,Tania,2000,2001
A Place Further Than the Universe,Gin Toudou,2018,2018
A Place Further Than the Universe,Hanami Yasumoto,2018,2018
A Place Further Than the Universe,Hinata Miyake,2018,2018
A Place Further Than the Universe,Kanae Maekawa,2018,2018
A Place Further Than the Universe,Mari Tamaki,2018,2018
A Place Further Than the Universe,Shirase Kobuchizawa,2018,2018
A Place Further Than the Universe,Toshio Zaizen,2018,2018
A Place Further Than the Universe,Yume Sasaki,2018,2018
A Place Further Than the Universe,Yumiko Samejima,2018,2018
A Place Further Than the Universe,Yuzuki Shiraishi,2018,2018
A Pup Named Scooby-Doo,Al Cabone,1988,1991
A Pup Named Scooby-Doo,Boobeard,1988,1991
A Pup Named Scooby-Doo,Coolsville Comet,1988,1991
A Pup Named Scooby-Doo,Daphne,1988,1991
A Pup Named Scooby-Doo,Fred,1988,1991
A Pup Named Scooby-Doo,Mr. O'Greazy,1988,1991
A Pup Named Scooby-Doo,Red Herring,1988,1991
A Pup Named Scooby-Doo,Scooby-Doo,1988,1991
A Pup Named Scooby-Doo,Shaggy,1988,1991
A Pup Named Scooby-Doo,Velma,1988,1991
A.L.F.,Augie Shumway,1987,1989
A.L.F.,Bob Shumway,1987,1989
A.L.F.,Cantfayl,1987,1989
A.L.F.,Curtis Shumway,1987,1989
A.L.F.,Eggbert Petty,1987,1989
A.L.F.,Flo Shumway,1987,1989
A.L.F.,Gordon Shumway,1987,1989
A.L.F.,Madame Pokipsi,1987,1989
A.L.F.,Skip,1987,1989
A.L.F.,Stella,1987,1989
A.T.O.M.,Albert 'Flesh',2005,2007
A.T.O.M.,Alexander Paine,2005,2007
A.T.O.M.,Butler,2005,2007
A.T.O.M.,Catalina Leone 'Lioness',2005,2007
A.T.O.M.,Dr. Rachelle Logan,2005,2007
A.T.O.M.,Hawk,2005,2007
A.T.O.M.,King,2005,2007
A.T.O.M.,Kip Hawkes - Jr. & Sr.,2005,2007
A.T.O.M.,Mr. Lee,2005,2007
A.T.O.M.,Ollie 'Shark' Sharkster,2005,2007
Aaahh!!! Real Monsters,Dizzle,1994,1997
Aaahh!!! Real Monsters,Doug,1994,1997
Aaahh!!! Real Monsters,Ickis,1994,1997
Aaahh!!! Real Monsters,Kriggle,1994,1997
Aaahh!!! Real Monsters,Krumm,1994,1997
Aaahh!!! Real Monsters,Oblina,1994,1997
Aaahh!!! Real Monsters,Simon the Monster Hunter,1994,1997
Aaahh!!! Real Monsters,Snav,1994,1997
Aaahh!!! Real Monsters,The Gromble,1994,1997
Aaahh!!! Real Monsters,Zimbo,1994,1997
Acampamento Lakebottom,Armand,2013,2013
Acampamento Lakebottom,Chip,2013,2013
Acampamento Lakebottom,Gretchen,2013,2013
Acampamento Lakebottom,Jordan Buttsquat,2013,2013
Acampamento Lakebottom,McGee,2013,2013
Acampamento Lakebottom,Rosebud,2013,2013
Acampamento Lakebottom,Sawyer,2013,2013
Acampamento Lakebottom,Squirt,2013,2013
Acampamento Lakebottom,Starling,2013,2013
Acampamento Lakebottom,Suzi,2013,2013
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,1995,2000
Ace Ventura: Pet Detective,Aguado,1995,2000
Ace Ventura: Pet Detective,Atrocia Odora,1995,2000
Ace Ventura: Pet Detective,Emilio,1995,2000
Ace Ventura: Pet Detective,Lawyer,1995,2000
Ace Ventura: Pet Detective,Prison Guard,1995,2000
Ace Ventura: Pet Detective,Shickadance,1995,2000
Ace Ventura: Pet Detective,Spike,1995,2000
Ace Ventura: Pet Detective,Uwe,1995,2000
Ace Ventura: Pet Detective,Woodstock,1995,2000
Action Man,Action Man,1995,1997
Action Man,Dr. X,1995,1997
Action Man,Gangrene,1995,1997
Action Man,Jacques,1995,1997
Action Man,Knuck,1995,1997
Action Man,Natalie,1995,1997
Action Man,Norris,1995,1997
Action Man,Vira,1995,1997
Adventure Time,BMO,2010,2018
Adventure Time,Cinnamon Bun,2010,2018
Adventure Time,Finn,2010,2018
Adventure Time,Ice King,2010,2018
Adventure Time,Jake,2010,2018
Adventure Time,Joshua,2010,2018
Adventure Time,Lumpy Space Princess,2010,2018
Adventure Time,Marceline,2010,2018
Adventure Time,Peppermint Butler,2010,2018
Adventure Time,Princess Bubblegum,2010,2018
Adventure Time: Distant Lands,CGO,2020,2020
Adventure Time: Distant Lands,Glassboy,2020,2020
Adventure Time: Distant Lands,Hugo,2020,2020
Adventure Time: Distant Lands,KS-2,2020,2020
Adventure Time: Distant Lands,Shafter,2020,2020
Adventure Time: Distant Lands,Y5,2020,2020
Adventure Time: Distant Lands,Young Marceline,2020,2020
Adventures in Wonder Park,Banky,2020,2020
Adventures in Wonder Park,Boomer,2020,2020
Adventures in Wonder Park,Cooper,2020,2020
Adventures in Wonder Park,Dad,2020,2020
Adventures in Wonder Park,Greta,2020,2020
Adventures in Wonder Park,Gus,2020,2020
Adventures in Wonder Park,June,2020,2020
Adventures in Wonder Park,Mom,2020,2020
Adventures in Wonder Park,Peanut,2020,2020
Adventures in Wonder Park,Steve,2020,2020
Adventures of the Gummi Bears,Cubbi Gummi,1985,1991
Adventures of the Gummi Bears,Duke Igthorn,1985,1991
Adventures of the Gummi Bears,Grammi Gummi,1985,1991
Adventures of the Gummi Bears,Gruffi Gummi,1985,1991
Adventures of the Gummi Bears,Gusto Gummi,1985,1991
Adventures of the Gummi Bears,Ogres,1985,1991
Adventures of the Gummi Bears,Sir Tuxford,1985,1991
Adventures of the Gummi Bears,Sunni Gummi,1985,1991
Adventures of the Gummi Bears,Tummi Gummi,1985,1991
Adventures of the Gummi Bears,Zummi Gummi,1985,1991
Æon Flux,Aemon,1991,1995
Æon Flux,Æon Flux,1991,1995
Æon Flux,Bambara,1991,1995
Æon Flux,Benzenhurst,1991,1995
Æon Flux,Clavius,1991,1995
Æon Flux,Hostess Judy,1991,1995
Æon Flux,Onan,1991,1995
Æon Flux,Rordy,1991,1995
Æon Flux,Trevor Goodchild,1991,1995
Æon Flux,Una,1991,1995
Afro Samurai,Afro Samurai,2007,2007
Afro Samurai,Assassin,2007,2007
Afro Samurai,Brother 1,2007,2007
Afro Samurai,Brother 2,2007,2007
Afro Samurai,Brother 6,2007,2007
Afro Samurai,Dharman,2007,2007
Afro Samurai,Justice,2007,2007
Afro Samurai,Juzo,2007,2007
Afro Samurai,Kuma,2007,2007
Afro Samurai,Sword Master,2007,2007
After School in the Teacher's Lounge,Hiroshi Kawase,1994,1995
After School in the Teacher's Lounge,Mitsurou Kawashi,1994,1995
After School in the Teacher's Lounge,Natsuhiko,1994,1995
After School in the Teacher's Lounge,Shiaki Kazama,1994,1995
After School in the Teacher's Lounge,Shizuka,1994,1995
Aggretsuko,Death-Metal Retsuko,2018,2018
Aggretsuko,Director Gori,2018,2018
Aggretsuko,Fenneko,2018,2018
Aggretsuko,Haida,2018,2018
Aggretsuko,Retsuko,2018,2018
Aggretsuko,Washimi,2018,2018
Ah! My Goddess,Belldandy,2005,2005
Ah! My Goddess,Keiichi Morisato,2005,2005
Ah! My Goddess,Otaki,2005,2005
Ah! My Goddess,Skuld,2005,2005
Ah! My Goddess,Tamiya,2005,2005
Ah! My Goddess,Urd,2005,2005
Air Gear,Emily Adachi,2006,2006
Air Gear,Itsuki 'Ikki' Minami,2006,2006
Air Gear,Mari 'Tom-Tom' Tomita,2006,2006
Air Gear,Minami 'Ikki' Itsuki,2006,2006
Air Gear,Onigiri,2006,2006
Air Gear,Ringo Noyamano,2006,2006
Air Master,Fukamichi,2003,2004
Air Master,Hanai,2003,2004
Air Master,Kaori Sakiyama,2003,2004
Air Master,Lucha Master,2003,2004
Air Master,Maki Aikawa,2003,2004
Air Master,Michiru Kawamoto,2003,2004
Air Master,Mina Nakanotani,2003,2004
Air Master,Renge Inui,2003,2004
Air Master,Tachibana,2003,2004
Air Master,Yu Takigawa,2003,2004
Ajin,Kei Nagai,2016,2016
Ajin,Masumi Okuyama,2016,2016
Ajin,Mrs. Yamanaka,2016,2016
Ajin,Professor Futoi,2016,2016
Ajin,Sato,2016,2016
Ajin,Sokabe,2016,2016
Ajin,Takahashi,2016,2016
Ajin,Tosaki,2016,2016
Ajin,Yu Tosaki,2016,2016
Akame ga Kill!,Akame,2014,2014
Akame ga Kill!,Esdeath,2014,2014
Akame ga Kill!,Leone,2014,2014
Akame ga Kill!,Mine,2014,2014
Akame ga Kill!,Najenda,2014,2014
Akame ga Kill!,Tatsumi,2014,2014
Akudama Drive,Brawler,2020,2020
Akudama Drive,Bunny,2020,2020
Akudama Drive,Courier,2020,2020
Akudama Drive,Cutthroat,2020,2020
Akudama Drive,Doctor,2020,2020
Akudama Drive,Hacker,2020,2020
Akudama Drive,Hoodlum,2020,2020
Akudama Drive,Ordinary Person,2020,2020
Akudama Drive,Pupil,2020,2020
Akudama Drive,Shark,2020,2020
ALF Tales,Augie Rhonda,1988,1990
ALF Tales,Augie Shumway,1988,1990
ALF Tales,Bob Shumway,1988,1990
ALF Tales,Curtis Shumway,1988,1990
ALF Tales,Eggbert Petty,1988,1990
ALF Tales,Flo Shumway,1988,1990
ALF Tales,Gordon Shumway,1988,1990
ALF Tales,Larson Petty,1988,1990
ALF Tales,Madame Pokipsi,1988,1990
ALF Tales,Skip,1988,1990
Alice in Borderlands,Chota Segawa,2014,2015
Alice in Borderlands,Daisuke Karube,2014,2015
Alice in Borderlands,Ryohei Arisu,2014,2015
Alice in Borderlands,Saori Shibuki,2014,2015
Alice in Borderlands,Shuntaro Chishiya,2014,2015
Alice in Borderlands,Yuzuha Usagi,2014,2015
Alien: Isolation,Amanda Ripley,2019,2019
Alien: Isolation,Marlow,2019,2019
Alien: Isolation,Samuels,2019,2019
All Dogs Go to Heaven: The Series,Annabelle,1996,1999
All Dogs Go to Heaven: The Series,Carface,1996,1999
All Dogs Go to Heaven: The Series,Charlie B. Barkin,1996,1999
All Dogs Go to Heaven: The Series,Chief,1996,1999
All Dogs Go to Heaven: The Series,Gerta,1996,1999
All Dogs Go to Heaven: The Series,Itchy Itchiford,1996,1999
All Dogs Go to Heaven: The Series,Jeremy,1996,1999
All Dogs Go to Heaven: The Series,Killer,1996,1999
All Dogs Go to Heaven: The Series,Manfred,1996,1999
All Dogs Go to Heaven: The Series,Sasha,1996,1999
All Grown Up!,Angelica Pickles,2003,2008
All Grown Up!,Chas Finster,2003,2008
All Grown Up!,Chuckie Finster,2003,2008
All Grown Up!,Didi Pickles,2003,2008
All Grown Up!,Dil Pickles,2003,2008
All Grown Up!,Kimi Finster,2003,2008
All Grown Up!,Miss O'Keats,2003,2008
All Grown Up!,Phil DeVille,2003,2008
All Grown Up!,Susie Carmichael,2003,2008
All Grown Up!,Tommy Pickles,2003,2008
All Hail King Julien,Clover,2014,2017
All Hail King Julien,Dorothy,2014,2017
All Hail King Julien,Horst,2014,2017
All Hail King Julien,King Julien,2014,2017
All Hail King Julien,Maurice,2014,2017
All Hail King Julien,Mort,2014,2017
All Hail King Julien,Tammy,2014,2017
All Hail King Julien,Timo,2014,2017
All Hail King Julien,Xixi,2014,2017
Allen Gregory,Allen Gregory,2011,2011
Allen Gregory,Beth,2011,2011
Allen Gregory,Gina Winthrop,2011,2011
Allen Gregory,Ian,2011,2011
Allen Gregory,Jeremy,2011,2011
Allen Gregory,Joel Zadak,2011,2011
Allen Gregory,Julie,2011,2011
Allen Gregory,Patrick,2011,2011
Allen Gregory,Richard,2011,2011
Allen Gregory,Val,2011,2011
Almost Naked Animals,Atomic Rooster,2011,2013
Almost Naked Animals,Batty,2011,2013
Almost Naked Animals,Bunny,2011,2013
Almost Naked Animals,Duck,2011,2013
Almost Naked Animals,Hippo,2011,2013
Almost Naked Animals,Howie,2011,2013
Almost Naked Animals,Narwhal,2011,2013
Almost Naked Animals,Octo,2011,2013
Almost Naked Animals,Puma,2011,2013
Almost Naked Animals,Sloth,2011,2013
Alpha Betas,Allison,2021,2021
Alpha Betas,Buck,2021,2021
Alpha Betas,Darryl,2021,2021
Alpha Betas,Eddie,2021,2021
Alpha Betas,Mason,2021,2021
Alpha Betas,Ruby,2021,2021
Alpha Betas,Stephen,2021,2021
Alpha Betas,Tommy,2021,2021
Alvin & the Chipmunks,Alvin Seville,1983,1990
Alvin & the Chipmunks,Clyde Crashcup,1983,1990
Alvin & the Chipmunks,Dolly Parton,1983,1990
Alvin & the Chipmunks,Miss Rebecca Miller,1983,1990
Alvin & the Chipmunks,Mr. T,1983,1990
Alvin & the Chipmunks,Theodore Seville,1983,1990
Alvinnn!!! And the Chipmunks,Alvin,2015,2015
Alvinnn!!! And the Chipmunks,Biggie Large,2015,2015
Alvinnn!!! And the Chipmunks,Brittany,2015,2015
Alvinnn!!! And the Chipmunks,Dave,2015,2015
Alvinnn!!! And the Chipmunks,Eleanor,2015,2015
Alvinnn!!! And the Chipmunks,Jeanette,2015,2015
Alvinnn!!! And the Chipmunks,Simon,2015,2015
Alvinnn!!! And the Chipmunks,Theodore,2015,2015
American Dad!,Avery Bullock,2005,2005
American Dad!,Barry Robinson,2005,2005
American Dad!,Francine Smith,2005,2005
American Dad!,Hayley Smith,2005,2005
American Dad!,Jeff Fischer,2005,2005
American Dad!,Klaus,2005,2005
American Dad!,Snot Lonstein,2005,2005
American Dad!,Stan Smith,2005,2005
American Dad!,Steve Smith,2005,2005
American Dad!,Terry Bates,2005,2005
American Dragon: Jake Long,Brad,2005,2007
American Dragon: Jake Long,Fu Dog,2005,2007
American Dragon: Jake Long,Haley Long,2005,2007
American Dragon: Jake Long,Jake Long,2005,2007
American Dragon: Jake Long,Jake's Father,2005,2007
American Dragon: Jake Long,Jake's Grandfather,2005,2007
American Dragon: Jake Long,Professor Rotwood,2005,2007
American Dragon: Jake Long,Spud,2005,2007
American Dragon: Jake Long,Susan Long,2005,2007
American Dragon: Jake Long,Trixie Carter,2005,2007
American Ninja Warrior,Top Competitor,2009,2009
Amphibia,Anne Boonchuy,2019,2019
Amphibia,Felicia,2019,2019
Amphibia,Hop Pop,2019,2019
Amphibia,Leopold Loggle,2019,2019
Amphibia,Mayor Toadstool,2019,2019
Amphibia,Mrs. Croaker,2019,2019
Amphibia,One-Eyed Wally,2019,2019
Amphibia,Polly Plantar,2019,2019
Amphibia,Sprig Plantar,2019,2019
Amphibia,Toadie,2019,2019
Angel Sanctuary,Arachine,2000,2000
Angel Sanctuary,Katan,2000,2000
Angel Sanctuary,Kira,2000,2000
Angel Sanctuary,Rosiel,2000,2000
Angel Sanctuary,Sara Mudo,2000,2000
Angel Sanctuary,Seraphita,2000,2000
Angel Sanctuary,Setsuna Mudo,2000,2000
Angelo,Angelo,2010,2010
Angelo,Dad,2010,2010
Angelo,Lora,2010,2010
Angelo,Manetti,2010,2010
Angelo,Mom,2010,2010
Angelo,Mr. Owen J. Foot,2010,2010
Angelo,Peter,2010,2010
Angelo,Sherwood,2010,2010
Angry Kid,Angry Kid,1999,1999
Angry Kid,Cop,1999,1999
Angry Kid,Dad,1999,1999
Angry Kid,Direct Inquiry Operator,1999,1999
Angry Kid,Lil Sis,1999,1999
Angry Kid,Miles,1999,1999
Animals.,69-69-420X,2016,2018
Animals.,General,2016,2018
Animals.,Jacob,2016,2018
Animals.,Lieutenant,2016,2018
Animals.,Meghan,2016,2018
Animals.,Mike,2016,2018
Animals.,Mom,2016,2018
Animals.,Phil,2016,2018
Animals.,Principal Leif,2016,2018
Animals.,Sapphire,2016,2018
Animaniacs,Baynarts 'Charlton' Woodchucks,1993,1998
Animaniacs,Bobby,1993,1998
Animaniacs,Dot Warner,1993,1998
Animaniacs,Pesto,1993,1998
Animaniacs,Ralph the Guard,1993,1998
Animaniacs,Skippy Squirrel,1993,1998
Animaniacs,Slappy Squirrel,1993,1998
Animaniacs,The Brain,1993,1998
Animaniacs,Wakko Warner,1993,1998
Animaniacs,Yakko Warner,1993,1998
Another,Chibiki Tatsuji,2012,2012
Another,Izumi Akazawa,2012,2012
Another,Kouichi Sakakibara,2012,2012
Another,Mei Misaki,2012,2012
Another,Naoya Teshigawara,2012,2012
Another,Professor Mikami,2012,2012
Another,Yuuya Mochizuki,2012,2012
Ant-Man,Alien Leader,2017,2017
Ant-Man,Ant-Man,2017,2017
Ant-Man,Cassie Lang,2017,2017
Ant-Man,Darren Cross,2017,2017
Ant-Man,David Cannon,2017,2017
Ant-Man,Egghead,2017,2017
Ant-Man,Exterminator,2017,2017
Ant-Man,Hank Pym,2017,2017
Ant-Man,Hope Pym,2017,2017
Ant-Man,Young Cassie Lang,2017,2017
Apollo Gauntlet,Apollo Gauntlet,2017,2017
Apollo Gauntlet,Daphne,2017,2017
Apollo Gauntlet,King Bellenus,2017,2017
Apollo Gauntlet,Monty,2017,2017
Apollo Gauntlet,Orenthal Bellenus,2017,2017
Apollo Gauntlet,Rubis,2017,2017
Apollo Gauntlet,Superknife,2017,2017
Appare-Ranman!,Appare,2020,2020
Appare-Ranman!,Appare's Mother,2020,2020
Appare-Ranman!,Chase,2020,2020
Appare-Ranman!,Fumi,2020,2020
Appare-Ranman!,Hototo,2020,2020
Appare-Ranman!,Kosame,2020,2020
Appare-Ranman!,Kuroda,2020,2020
Appare-Ranman!,Pistol,2020,2020
Appare-Ranman!,Sofia,2020,2020
Appare-Ranman!,TJ,2020,2020
Apple & Onion,Apple,2016,2020
Apple & Onion,Burger,2016,2020
Apple & Onion,Chicken Nugget,2016,2020
Apple & Onion,Falafel,2016,2020
Apple & Onion,Ice Cream,2016,2020
Apple & Onion,Onion,2016,2020
Apple & Onion,Patty,2016,2020
Apple & Onion,Pizza,2016,2020
Apple & Onion,Pizza's Mom,2016,2020
Apple & Onion,Root Beer Float,2016,2020
Aqua Teen Hunger Force,Announcer,2000,2015
Aqua Teen Hunger Force,Cop,2000,2015
Aqua Teen Hunger Force,Dr. Weird,2000,2015
Aqua Teen Hunger Force,Emory,2000,2015
Aqua Teen Hunger Force,Err,2000,2015
Aqua Teen Hunger Force,Frylock,2000,2015
Aqua Teen Hunger Force,Master Shake,2000,2015
Aqua Teen Hunger Force,Meatwad,2000,2015
Aqua Teen Hunger Force,Oglethorpe,2000,2015
Aqua Teen Hunger Force,Tree,2000,2015
Archer,Barry Dillon,2009,2009
Archer,Cheryl Tunt,2009,2009
Archer,Cyril Figgis,2009,2009
Archer,Doctor Krieger,2009,2009
Archer,Lana Kane,2009,2009
Archer,Malory Archer,2009,2009
Archer,Pam Poovey,2009,2009
Archer,Ray Gillette,2009,2009
Archer,Sterling Archer,2009,2009
Archer,Woodhouse,2009,2009
Around the World with Willy Fog,Armstrong,1983,1983
Around the World with Willy Fog,Bully,1983,1983
Around the World with Willy Fog,Dix,1983,1983
Around the World with Willy Fog,Fog,1983,1983
Around the World with Willy Fog,Inspector Dix,1983,1983
Around the World with Willy Fog,Rigadon,1983,1983
Around the World with Willy Fog,Rigodón,1983,1983
Around the World with Willy Fog,Romy,1983,1983
Arslan Senki,Alfreed,2015,2015
Arslan Senki,Arslan,2015,2015
Arslan Senki,Daryun,2015,2015
Arslan Senki,Elam,2015,2015
Arslan Senki,Etoile,2015,2015
Arslan Senki,Farangis,2015,2015
Arslan Senki,Gieve,2015,2015
Arslan Senki,Jaswant,2015,2015
Arslan Senki,Narsus,2015,2015
Arthur,Binky Barnes,1996,1996
Arthur,Buster Baxter,1996,1996
Arthur,Ed Crosswire,1996,1996
Arthur,Emil Nigel Ratburn III,1996,1996
Arthur,Francine Alice Frensky,1996,1996
Arthur,Grandma Thora Read,1996,1996
Arthur,Jane Read,1996,1996
Arthur,Mary Alice Crosswire,1996,1996
Arthur,Prunella Deegan,1996,1996
As Aventuras de Aquaman,Aqualad,1967,1969
As Aventuras de Aquaman,Aquaman,1967,1969
As Aventuras de Aquaman,Green Lantern,1967,1969
As Aventuras de Aquaman,Hawkman,1967,1969
As Aventuras de Aquaman,Kid Flash,1967,1969
As Aventuras de Aquaman,Speedy,1967,1969
As Aventuras de Aquaman,Superman,1967,1969
As Aventuras de Aquaman,The Flash,1967,1969
As Lendas: Mestres dos Mitos,Alebrije,2019,2019
As Lendas: Mestres dos Mitos,Arthur The Fool,2019,2019
As Lendas: Mestres dos Mitos,Brother Upton,2019,2019
As Lendas: Mestres dos Mitos,Don Andres,2019,2019
As Lendas: Mestres dos Mitos,Leo,2019,2019
As Lendas: Mestres dos Mitos,Male Cinnamon Bling,2019,2019
As Lendas: Mestres dos Mitos,Marcella,2019,2019
As Lendas: Mestres dos Mitos,Rasbutan,2019,2019
As Lendas: Mestres dos Mitos,Teodora,2019,2019
As Lendas: Mestres dos Mitos,The Powrie,2019,2019
As Told by Ginger,Blake Gripling,2000,2009
As Told by Ginger,Carl Foutley,2000,2009
As Told by Ginger,Courtney Gripling,2000,2009
As Told by Ginger,Darren Patterson,2000,2009
As Told by Ginger,Dodie Bishop,2000,2009
As Told by Ginger,Ginger Foutley,2000,2009
As Told by Ginger,Hoodsey Bishop,2000,2009
As Told by Ginger,Lois Foutley,2000,2009
As Told by Ginger,Macie Lightfoot,2000,2009
As Told by Ginger,Miranda Killgallen,2000,2009
Ascendance of a Bookworm,Delia,2019,2019
Ascendance of a Bookworm,Egmont,2019,2019
Ascendance of a Bookworm,Eva,2019,2019
Ascendance of a Bookworm,Hugo,2019,2019
Ascendance of a Bookworm,Karstedt,2019,2019
Ascendance of a Bookworm,Main,2019,2019
Ascendance of a Bookworm,Ralph,2019,2019
Ascendance of a Bookworm,Rico,2019,2019
Ascendance of a Bookworm,Turi,2019,2019
Ashita no Jô,Carlos Rivera,1970,1971
Ashita no Jô,Carlos' Manager,1970,1971
Ashita no Jô,Danpei tange,1970,1971
Ashita no Jô,Henry James,1970,1971
Ashita no Jô,Joe yabuki,1970,1971
Ashita no Jô,Punk,1970,1971
Ashita no Jô,Taro,1970,1971
Ashita no Jô,Toru rikiishi,1970,1971
Ashita no Jô,Yoko shiraishi,1970,1971
Ashita no Jô,Yoko shiraki,1970,1971
Ashita no Jô 2,Joe Yabuki,1980,1981
Ask the StoryBots,Bang,2016,2019
Ask the StoryBots,Beep,2016,2019
Ask the StoryBots,Bing,2016,2019
Ask the StoryBots,Bo,2016,2019
Ask the StoryBots,Bob Fossil,2016,2019
Ask the StoryBots,Boop,2016,2019
Ask the StoryBots,Cochlea,2016,2019
Ask the StoryBots,Hap,2016,2019
Ask the StoryBots,Hub and Bub,2016,2019
Ask the StoryBots,Jake the Cupcake,2016,2019
Asobi Asobase: Workshop of Fun,Enomoto,2018,2018
Asobi Asobase: Workshop of Fun,Hanako Honda,2018,2018
Asobi Asobase: Workshop of Fun,Higuchi-sensei,2018,2018
Asobi Asobase: Workshop of Fun,Kasumi Nomura,2018,2018
Asobi Asobase: Workshop of Fun,Maeda,2018,2018
Asobi Asobase: Workshop of Fun,Oka-san,2018,2018
Asobi Asobase: Workshop of Fun,Olivia,2018,2018
Asobi Asobase: Workshop of Fun,Student Council President,2018,2018
Asobi Asobase: Workshop of Fun,Takayanagi-sensei,2018,2018
Assy McGee,Actor,2006,2008
Assy McGee,Assy McGee,2006,2008
Assy McGee,Brenda Sanchez,2006,2008
Assy McGee,Business Man,2006,2008
Assy McGee,Cashier,2006,2008
Assy McGee,Dilorenzo,2006,2008
